Planet,Title,Authors,Year of Publication,Summary,Length,Goodreads Id,polarity,subjectivity
Saturn,Robots of Saturn (Dig Allen Space Explorer Adventure #5),Joseph Greene,1962,"In their most daring venture yet, the three Space Explorers set out to mine the rings of Saturn! An expedition to the planet discovered that the rings of Saturn are the only place in the Solar System where Methane-X can be found -- and Methane-X is the key material Space Research needs in order to build an interstellar spaceship.",187,17184020,0.166666667,0.833333333
Mars,Podkayne of Mars,Robert A. Heinlein,1963,"Podkayne Fries, a clever Martian maid with dreams of becoming the first female starship pilot, is delighted to join her diplomatic uncle on an interstellar journey. But her uncle's power makes her a political target.",224,50839,0.261111111,0.497222222
Ganymede,Outpost of Jupiter,Lester del Rey,1963,"From back of book: ""A Plague on Ganymede. When his father's sudden illness stranded the Wilsons in the tiny human colony on Jupiter's moon, Bob gave up his plans for college and joined the colonists in their struggle against he brutal environment of Ganymede.The challenges, the comradeship he found, and the awe-inspiring spectacle of Jupiter filling the skyall exhilarated Bob far beyond his expectations. So did his investigation of the major mystery behind the strange globe that was hidden out in the hills and that seemed to be trying to communicate with the colony.Before he could find the answer, a plauge struck and crippled the colony. Then enraged and fearful colonists accused Bob of being the carrier!""",166,230432,-0.144097222,0.565277778
Titan,The Game-Players of Titan,Philip K. Dick,1963,"In this sardonically funny gem of speculative fiction, Philip K. Dick creates a novel that manages to be simultaneously unpredictable and perversely logical. Poor Pete Garden has just lost Berkeley. He's also lost his wife, but he'll get a new one as soon as he rolls a three. It's all part of the rules of Bluff, the game that's become a blinding obsession for the last inhabitants of the planet Earth. But the rules are about to change--drastically and terminally--because Pete Garden will be playing his next game against an opponent who isn't even human, for stakes that are a lot higher than Berkeley.",223,100692,-0.073358586,0.439267677
Ganymede,Clans of the Alphane Moon,Philip K. Dick,1964,"When CIA agent Chuck Rittersdorf and his psychiatrist wife, Mary, file for divorce, they have no idea that in a few weeks they'll be shooting it out on Alpha III M2, the distant moon ruled by various psychotics liberated from a mental ward. Nor do they suspect that Chuck's new employer, the famous TV comedian Bunny Hentman, will also be there aiming his own laser gun. How things came to such a darkly hilarious pass is the subject of Clans of the Alphane Moon, an astutely shrewd and acerbic tale that blurs all conventional distinctions between sanity and madness.",256,226486,0.131403319,0.55791847
Mars,Martian Time-Slip,Philip K. Dick,1964,"On the arid colony of Mars the only thing more precious than water may be a ten-year-old schizophrenic boy named Manfred Steiner. For although the UN has slated ""anomalous"" children for deportation and destruction, other people--especially Supreme Goodmember Arnie Kott of the Water Worker's union--suspect that Manfred's disordermay be a window into the future. In Martian Time-Slip Philip K. Dick uses power politics and extraterrestrial real estate scams, adultery, and murder to penetrate the mysteries of being and time.",262,697251,0.130555556,0.5
Mars,The Secret of Sinharat,Leigh Brackett,1964,"Eric John Stark is an adventurer and rebel. Raised on sun-soaked savage Mercury, dwelling in civilization, his calm and dark skin mask a warrior spirit. In murderous Martian Drylands, worst galaxy criminals hatch conspiracy. In forgotten ruins of Martian Low Canals, Stark finds unlikely romance and a potent secret that could shake the Red Planet to its core.",237,2465084,-0.163636364,0.504545455
Mercury,The Coldest Place,Larry Niven,1964,"In 1964, Larry Niven wrote a story called ""The Coldest Place"", set on the frozen back side of Mercury, based on the premise that it would be even colder than the outer planets, since they rotate.",50,17182852,0,0
Ganymede,Three Worlds To Conquer,Poul Anderson,1964,"Three worlds: Jupiter where no human could live but where men had strange allies and stranger enemies!Ganymede where human settlers lay helpless under the guns of a spaceship directed by a madman!Earth freed from a planet-wide tyranny, but facing total destruction from space!The destinies of these worlds were strangely linked and in the hands of a man sentenced to instant death!",143,2414795,-0.007954545,0.352083333
Mars,The City of the Beast or Warriors of Mars (Michael Kane 1),"Michael Moorcock, Edward P. Bradbury",1965,First of the Michael Kane trilogy. Originally published under the pseudonym Edward P. Bradbury.,160,399375,0.3125,0.541666667
Mars,The Three Stigmata of Palmer Eldritch,Philip K. Dick,1965,"Dick at his wildest and strangest - a mystifying but brilliant book - SF: 100 Best NovelsIn the overcrowded world and cramped space colonies of the late 21st century, tedium can be endured through the drug Can-D, which enables users to inhabit a shared illusory world. When industrialist Palmer Eldritch returns from an interstellar trip, he brings with him a new drug, Chew-Z. It is far more potent than Can-D, but threatens to plunge the world into a permanent state of drugged illusion controlled by the mysterious Eldritch.He was the funniest SF writer of his time, and perhaps the most terrifying - The Encyclopedia of Science FictionOne of the most original practitioners writing any kind of fiction, Dick made most of the European avent-garde seem like navel-gazers in a cul-de-sac. - Sunday TimesCover illustration: Chris Moore",231,14185,0.269460227,0.594034091
Mars,"Lord Of The Spiders Or Blades Of Mars (Michael Kane, Vol. 2)","Michael Moorcock, Richard Hescox, Edward P. Bradbury",1965,"Once more into the matter transmitter for an unforgettable journey to ancient Mars! Pulled back to earth on the eve of his marriage to the beautiful Princess Shizala, brilliant physicist Michael Kane must once again journey to the Red Planet to reclaim a life of swordplay and high adventure in the tradition of Edgar Rice Burroughs! Kane finds himself on a different Mars, a place of blue giants and red revolution that ultimately leads to a ruined obsidian city inhabited by savage spider-men.Cover Illustration and Frontispiece: Richard Hescox",160,1531148,0.291818182,0.521818182
Mars,"Masters Of The Pit Or Barbarians Of Mars (Michael Kane, Vol. 3)","Michael Moorcock, Richard Hescox, Edward P. Bradbury",1965,"Michael Moorcock's Eternal Champion returns in the form of Michael Kane, a brilliant Earthman stranded on the treacherous deserts of Ancient Mars! In this sweeping, epic sword-and-planet adventure in the tradition of Edgar Rice Burroughs, Kane and his blue giant companion Hool Haji must travel to the far reaches of the Red Planet to halt the hideous Green Death, an unstoppable disease that rots the mind as well as the body. From gorgeous Karnala, City of Green Mists, to the empty streets of tainted Cend-Amrid to the forgotten weird-science laboratories of the lost, highly advanced Yaksha culture, Masters of the Pit promises stunning locales, disgusting Martian creatures, and relentless action from the Nebula and World Fantasy Award-winning creator of Elric of Melnibon!Cover Illustration and Frontispiece: Richard Hescox",158,1531197,0.08125,0.621875
Mercury,Mission to Mercury,Hugh Walters,1965,"The use of telepathy in space flight is being considered by UNEXA. Telepathic twins, Gill and Gail, volunteer to assist and it is decided that one of them will accompany Chris and the rest on their next mission - to Mercury, where solar radiation will render radio impractical.All goes well at first, but then strange changes in the behaviour of the crewmembers are observed by Gail. It transpires that the solar radiation is affecting their personalities. The answer is to attempt a landing on the frozen 'dark side' of Mercury, using the planet as a shield while a new trajectory is worked out. However, the absolute-zero conditions cause massive heat loss from the ship and it may not be possible to lift off before the crew succumb to the cold....",160,90646,-0.023737374,0.581986532
Mercury,Tama of the Light Country,Ray Cummings,1965,"A startling novel of the conflict with Mercury -- the smallest world of the solar system -- which harbors a terrifying secret. Ten years have passed since independent astronaut Guy Palisse disappeared in his prototype rocket. Suddenly UFOs are sighted all over North America, and young women begin vanishing. People are found dead, apparently shot with a weird heat-ray weapon. Police shoot down one of the ""invaders"" only to find that their victim is a young girl with wings who gasps ""warn you..."" as she dies. Who is she, and what is the connection with Guy Palisse? Find out and discover the civilization of Mercury and its bizarre customs in this thrilling romantic adventure.",124,6704565,-0.113562092,0.518464052
Ganymede,The Runaway Robot,Lester del Rey,1965,"We're returning to earth, Paul's father tells him. Paul is wildly excited, for all human beings on the planet Ganymede dream of going back to Earth some day. Then Paul finds out that he cannot take his robot Rex with him. Rex has been his constant companion for sixteen years. Leave him behind? Never!So begins a series of breathtaking adventures in space as Paul and his robot Rex attempt to outwit the forces that seek to separate them.",188,52666,0.1625,0.480555556
Jupiter,Journey to Jupiter,Hugh Walters,1965,"Jupiter is the next target of exploration for UNEXA. It proves to be a journey of some months for our team, who get increasingly scratchy as they are cooped up together. Unfortunately, a miscalculation of Jupiter's gravity means that the mission has to be aborted before the planet is reached, and even so there is insufficient fuel to return home. A daring attempt is made to land on Io, and then wait for an opportune moment to set off back to Earth, but Io's surface is a mass of razor sharp pinnacles, one of which damages the ship on touchdown. After repairs are effected Jupiter I lifts off, and Sir George arranges for the Mars III expedition to be diverted to rendezvous with the Jupiter ship and rescue the astronauts. ",159,3313390,-0.065,0.35
Titan,How Beautiful With Banners,James Blish,1966,"Free online fiction from scifi.com.Feeling as naked as a peppermint soldier in her transparent film wrap, Dr. Ulla Hillstrm watched a flying cloak swirl away toward the black horizon with a certain consequent irony. Originally published in Orbit 1, ed. Damon Knight, Berkley Medallion, 1966.",12,21568903,0.16452381,0.590952381
Mars,We Can Remember It for You Wholesale,Philip K. Dick,1966,"He awokeand wanted Mars. The valleys, he thought. What would it be like to trudge among them? Great and greater yet: the dream grew as he became fully conscious, the dream and the yearning. He could almost feel the enveloping presence of the other world, which only Government agents and high officials had seen. A clerk like himself? Not likely.Novellete-length, this story is the inspiration behind the popular Total Recall movies from 1990 and 2012.",29,6561374,0.181666667,0.668333333
Mercury,"Tama, Princess of Mercury",Ray Cummings,1966,"Guy Palisse, space-explorer, returned to Earth in the Bolton Flying Cube after ten years on the Sun's first planet, Mercury. He returned to report that he had warded off war between the two worlds, and to wed before an admiring planet his beautiful fiancee, Tama, winged princess of Mercury's Light Country.But following on Palisse's orbit was a new wave of terror, as barbarian hordes from Mercury's Cold Country descended to launch their conquest of Earth. And Palisse's triumph turned to near disaster as the frenzied Mercurians plotted to kidnap Tama and bring the Earth to ruin.",128,9023068,0.048484848,0.548653199
The Moon,The Moon is a Harsh Mistress,Robert A. Heinlein,1966,"It is the year 2076, and the Moon is a penal colony for the rebellious and the unwanted of Earth. The exiles have created a libertarian society in order to survive in their harsh and unforgiving environment, their motto being TANSTAAFL: ""There ain't no such thing as a free lunch"". Looming over them is the Luna Authority, the heavy-handed Earth administration, who trades life necessities to the ""Loonies"" in exchange for grain shipments to the starving populations of Earth.As the situation steadily deteriorates the inhabitants of Luna come to realize that they have little choice but to revolt against Luna Authority in order to save themselves from resource exhaustion and a subsequent environmental apocalypse.A small band of dissidents emerges to lead the revolution. This consists of a one-armed computer jock, a radical young woman, a past-his-prime academic, and a nearly omnipotent computer named Mike. These people ignite the fires of revolution, despite the near certainty of failure.",288,16690,0.078707109,0.46524135
"Pluto, Titan",The World Of Ptavvs (Known Space),Larry Niven,1966,"Larry Greenberg's telepathic tendencies had been trained and developed to a critical level. The trouble was that if these psychic interchanges were strong enough, a man could end up not knowing who he really was. And when Larry's mind is taken over by a sinister alien force, he has to fight to retain his sanity - and divert a disaster that threatens all mankind...""Snappy, ingenious, and upbeat."" - GalaxyMade the 1st ballot for the 1967 Nebula",188,218463,0.031481481,0.609259259
Mars,Born Under Mars,John Brunner,1967,"When mankind colonized the stars, they traveled out from Earth in two directions - to Centaurus and its Southern Hemisphere neighbors and to Ursa Major and the constellations around Polaris. And strange to say the humans who settled on those various worlds began to develop into two differing and antagonistic types.  For Ray Mallin, born under the surface of Mars in the sparse colony of Earth's inhospitable old neighbor, neither the anarchic ""Bears"" nor the autocratic ""Centaurs"" commanded his loyalty. So when secret agents of both galactic groupings suddenly focused their unwelcome attention on his most recent star-piloting mission, he knew only that something of vast significance was up - and that he unknowingly was the key to it.   John Brunner's new interstellar novel is a dramatic picture of future humanity and Martian adventure.",157,2362278,-0.005631313,0.498636364
Mars,The Coming of the Terrans,Leigh Brackett,1967,"A dying planet, dried up and hostile -- a planet of countless years and countless mysteries. When the Terrans came, they found a world of dead sea-bottoms, lost civilizations, and secretive tribes bitterly resenting the intrusion of the Terrans on the fading glory of an ancient planet. The Earthmen looked down upon the crumbling ruins of a brilliant culture, and laughed at the stories of invincible gods and forgotten magic lingering in the forbidden cities of Jekkara, Barrakesh, Valkis ...But the dangers were real--and only a few renegade Earth-born adventurers who had adopted the Martian way of life could understand the planet-wide disaster that was building up.",157,2523143,0.08531746,0.499206349
Mars,Welcome to Mars,James Blish,1967,Dolph had found the secret of anti-gravity and now the solar system was his to explore. In his homemade spaceship he soared through the star-studded blackness of outer space. It was all systems go until the power tubes burned out during the landing on Mars. Dolph was now the first man marooned on a strange planet...,156,1407404,-0.066666667,0.394444444
Saturn,Spaceship to Saturn,Hugh Walters,1967,"UNEXA has decided to launch a ship to explore Saturn. However, as the length of the journey would prove unpleasant for the crew, it has been decided to use a new freezing technique, 'hypothermia'. It seems nonetheless that the mission must be cancelled due to a massive increase in meteor activity in the region of Saturn - radio is far too slow to allow the computer on Earth to manoeuvre the ship to avoid these meteors. The solution - instantaneous telepathy. It is found that Gill and Gail still communicate a carrier wave while under hypothermia, and telemetry can then be modulated on to this. A landing is attempted on Io, but problems occur and it turns out to be necessary to fly the ship through the Cassini division - a tiny gap in the rings of Saturn..... ",160,2129562,-0.004292929,0.731060606
Ganymede,The Ganymede Takeover,"Philip K. Dick, Ray Faraday Nelson",1967,Earth has been taken over by a strange alien force - creatures whose instinct for survival overrides any human resistance. Then a vital weapon - with the power of electronically warping the mind - falls into the hands of a terrorist group still strong enough to oppose the aliens. A weapon so powerful that it cannot be controlled. The control of Earth is in the balance - and the balance is a terrifyingly precarious one.,192,226484,-0.058333333,0.579166667
Ganymede,The Goddess Of Ganymede,Michael D. Resnick,1967,"A primitive moon of winged menA horde of ferocious creaturesAn evil, deathless race of beingsAmerican soldier-of-fortune Adam Thane must try to defeat these monstrous foes with all the courage and swordsmanship he possesses.If he fails, the woman he loves - Delisse, Goddess of Ganymede - will be forced into marriage with Tarafolga, the planet's most brutal god.Don't miss this swashbuckling science-fantasy if you are one of the millions of readers who thrill to the high adventure of Edgar Rice Burroughs!",160,5575041,-0.335833333,0.59
Saturn,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,1968,A special new Introduction by the author highlights this reissue of a classic science fiction novel that changed the way people looked at the stars--and themselves.,297,70535,0.22005772,0.397546898
Venus,"Farewell, Fantastic Venus! A History Of The Planet Venus In Fact And Fiction",Brian W. Aldiss,1968,"Farewell Fantastic Venus is a science fiction anthology edited by Brian Aldiss and Harry Harrison. It was first published in 1968 as a direct response to the information returned from the first space probes sent to Venus, especially the first atmospheric probe to return data, Venera 4. The first data was not returned from the surface until Venera 7 successfully landed in 1970. The book contains stories and novel excerpts from the time before Venus' true nature became apparent, when the clouded planet could still be imagined as another Earth, albeit a hotter one. From that point on, few stories would be written which did not recognize Venus as a dry lifeless world with acid clouds and a temperature high enough to melt lead. Writers such as Larry Niven (author of ""Becalmed in Hell"") did write about the ""new"" Venus, but there were to be few more transplanted jungle adventures, imagined world of oceans with monsters, or Venusians. Venus had been the best hope for extraterrestrial life, and now that hope was lost. Later, however, writers avoided this apparent impasse through using hard science fiction premises for future terraforming of Venus, or resorted to alternate world science fiction, where Venus had either been terraformed by aliens in the distant past to provide an earth-like biosphere, or had undergone different processes of planetary formation to arrive at an inhabitable alternative. Alternatively, science fantasy authors deliberately overlooked recent discoveries in favor of a setting they loved. The authors whose stories were included ranged from C.S. Lewis (excerpt from Perelandra) to Edgar Rice Burroughs (excerpt from Pirates of Venus) and from Olaf Stapledon (excerpt from Last and First Men) to Poul Anderson (The Big Rain, Sister Planet). Essays and meditations from a variety of scientists and SF writers were also included in the collection.",293,3960642,0.131455464,0.392258953
Mars,Do Androids Dream of Electric Sheep?,"Philip K. Dick, Roger Zelazny",1968,"It was January 2021, and Rick Deckard had a license to kill.Somewhere among the hordes of humans out there, lurked several rogue androids. Deckard's assignment--find them and then...""retire"" them. Trouble was, the androids all looked exactly like humans, and they didn't want to be found!",244,7082,0.016666667,0.15
Neptune,Nearly Neptune,Hugh Walters,1968,"Chris Godfrey and his three companions were dead! So begins Nearly Neptune, as we learn in flashback of the fire that badly damages the ship, and its apparent break-up, monitored by radar from Earth. Needless to say, our four friends have not perished, but it seems impossible for them to make it back to Earth when the hypothermia equipment has been irreprably damaged... ",165,3948766,-0.273809524,0.545238095
Ganymede,Pursuit on Ganymede,"Michael D. Resnick, Mike Resnick",1968,A sequel to Goddess of Ganymede. Again featuring the earthman Adam Thane. A Sword &amp; Planet novel.,144,6606407,0,0
Neptune,Macroscope,Piers Anthony,1969,"Macroscope Throughout history, man has been searching for better ways to gather information about his universe. But although they may have longed for it, not even the most brilliant minds could conceive of a device as infinitely powerful or as immeasurably precise as the macroscope, until the twenty-first century. By analyzing information carried on macrons, this unbelievable tool brought the whole universe of wonders to man's doorstep. The macroscope was seen by many as the salvation of the human race. But in the hands of the wrong man, the macroscope could be immensely destructive-infinitely more dangerous than the nuclear bomb. By searching to know too much, man could destroy the very essence of his mind. This is the powerful story of man's struggle with technology, and also the story of his human struggle with himself. This novel takes us across the breathtaking ranges of space as well as through the most touching places in the human heart. It is a story of coming of age, of sacrifice, and of love. It is the story of man's desperate search for a compromise between his mind and his heart, between knowledge and humanity.",428,116158,0.18,0.573333333
Ganymede,I Will Fear No Evil,Robert A. Heinlein,1970,"Johann Sebastian Bach Smith is immensely rich; and very old. His mind is still keen, so he has surgeons transplant his brain into a new body; the body of his gorgeous, recently deceased secretary, Eunice. But Eunice hasn't completely vacated her body...",512,175325,0.240227273,0.502424242
Mars,Journey Between Worlds,"Sylvia Engdahl, James McCrea, Ruth McCrea",1970,"Eighteen-year-old Melinda Ashley never wanted to go to Mars. She had her life all planned out - marry Ross and become a teacher. but when her estranged father convinces her to take an interplanetary vacation, she finds herself tempted to leave behind her comfortable existence on Earth. Mars isn't at all what she expected, and when she meets Alex Preston, a second-generation Martian colonist, she finds herself on a surprising new path. Sylvia Engdahl's classic novel has been revised and updated by the author to reflect new discoveries and research about Mars.",240,4578,0.126599327,0.408417508
Neptune,"Ringworld (Ringworld, #1)",Larry Niven,1970,"Pierson's puppeteers, three-leg two-head aliens find immense structure in unexplored part of the universe. Frightened of meeting the builders, they send a team of two humans, a puppeteer and a kzin, eight-foot red-fur catlike alien. Ringworld is 180 million miles across, sun at center. But the expedition crashes, and crew face disastrously long trek.",288,61179,-0.08,0.45
Pluto,"World's Fair 1992 (Regan, #2)",Robert Silverberg,1970,"Against the night sky, the nearly completed Worldâ€™s Fair Satellite gleamed like a shiny new penny. You could see it even with low-powered field glasses as it moved in its stately orbit around the Earth: a giant copper-hued globe, the biggest space satellite ever constructed. The Fairâ€™s opening dayâ€”October 12, 1992â€”was only some six weeks away. And in very much less time than that, Bill Hastings was going to be up there to begin his year in space. From every loudspeaker in Denver Spaceport came the booming message: â€œAttention, passengers for Flight 100 Special Transit to the Worldâ€™s Fair. Boarding has now begunâ€_â€ù ",256,449344,0.252683983,0.649264069
Venus,"The Wizard of Venus (Venus, #5)",Edgar Rice Burroughs,1970,"Including first publication of Pirate Blood - the last thrilling story of the master story-teller, Edgar Rice Burroughs.The fifth and final adventure of Carson Napier among the exotic people and beasts of Amtor is Burroughs' THE WIZARD OF VENUS. Sequel to his fabulous four Venus novels, it is an adventure not to be missed as Napier encounter a new kind of science and anew kind of alien deviltry.PIRATE BLOOD, which is included in this very special Burroughs treat, is something no reader of the Tarzan-Carter-Napier novels will want to miss. Found among his papers long after Edgar Rice Burroughs' death, it is a complete adventure story of excitement, high-pitched action, and derring-do. Its hero, a devil-may-care experimenter, designs his own aircraft and adventures among the little explored islands of the far seas to find that chivalry still requires the maximum of endurance and the utmost in courage.",186,1397170,0.209619408,0.671522367
Uranus,First Contact?,Hugh Walters,1971,"Mysterious radio signals from Uranus are flooding Earth, making radio communication impossible. Our four friends, together with four other astronauts on a backup ship, are sent to investigate. On arrival they find a strange spaceship and an apparently friendly alien humanoid, Vari. While Chris, Serge and Tony are convinced of the alien's good intentions, Morrey believes they have been brainwashed and determines to destroy Vari - even if the cost is his own life... ",174,6562782,0.013333333,0.6125
Titan,As on a Darkling Plain,Ben Bova,1972,Earthlings are sent to Saturn's largest moon to investigate machines that were left behind centuries ago by an alien race.,288,295143,-0.216666667,0.483333333
Pluto,Construction Shack,Clifford D. Simak,1973,Construction Shack (1973) by Clifford D. SimakPluto 's status as a planet changes on the discoveryit's artificial. When Simak wrote the story Pluto wasstill considered a planet by astronomers and thepublic.,8,20694817,0.041976135,0.487737821
Pluto,Passage To Pluto,Hugh Walters,1973,"Chris has become deputy-director of UNEXA, and thus will not accompany Tony, Morrey and Serge on their next mission - to discover the reason for small changes in the orbit of Pluto. When they arrive, they discover the cause is a super-dense wandering planet, which they name Planet X. They then make a horrifying discovery - not only have their fuel tanks been holed during the journey, but Planet X will decimate the solar system!",157,4394582,-0.163333333,0.613333333
Mercury,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,1973,"At first, only a few things are known about the celestial object that astronomers dub Rama. It is huge, weighing more than ten trillion tons. And it is hurtling through the solar system at an inconceivable speed. Then a space probe confirms the unthinkable: Rama is no natural object. It is, incredibly, an interstellar spacecraft. Space explorers and planet-bound scientists alike prepare for mankind's first encounter with alien intelligence. It will kindle their wildest dreams... and fan their darkest fears. For no one knows who the Ramans are or why they have come. And now the moment of rendezvous awaits just behind a Raman airlock door.",243,112537,0.1125,0.559722222
Titan,Star Smashers of the Galaxy Rangers,Harry Harrison,1973,"The wild, galaxy-hopping adventures of brash young scientists Jerry Courtenay and Chuck van Chider are at the core of this classic space opera. When the two college students develop a faster-than-light space drive in their homemade workshed, they decide to sneak it aboard their football team's airplane as a prank. The boyish plan backfires, however, and the boys find themselves, along with their crush Sally and the seemingly loveable school caretaker, Old John, hurtling through the solar system towards Titanan icy moon of Saturn inhabited by hideous ice creatures. Titan and the 20th century are only square one as the foursome becomes embroiled in a vast, intergalactic, century-jumping battle.",212,432161,0.056666667,0.486666667
Titan,If the Stars Are Gods,"Gregory Benford, Gordon Eklund",1974,"Man searched a long time for alien life, until finally it found him. The aliens put their ship into orbit around the moon, peacably ignoring frantic human excitement, and asked to see someone who knew the stars. Earth sent Bradley Reynolds, 52, officially retired, a man who knew the stars as well as any man could. But the aliens wanted more than Reynolds could give. They wanted to know whether the sun loves us.For Bradley Reynolds, it was the beginning of a life-long quest for alien intelligence, for beings who could speak to him with that wonderful Otherness. On Mars, on Jupiter, on Titan he would find hints of what he sought, and what he would find in the end was a tranformation so glorious as to be far beyond his capacity to dream.",251,455947,0.111111111,0.655555556
Mars,The Bitter Pill,A. Bertram Chandler,1974,"The Bitter Pill is a novel of the near future as seen from 1974, extrapolating contemporary political and sociological trends to develop with frightening plausibility to growing importance of youth as a political power.To Paul Clayton, obscure shipping clerk, his forty-fifth birthday was not an occasion for celebration. It meant the achievement of status of Senior Citizen, and with it several dubious privileges-not leas to of which was voluntary euthanasia, facilitated by the government issue suicide pill. Those who changed their minds, once they had broken the capsule containing the lethal pill, faced the prospect of forced labor camps in the Australian desert of the penal colony on Mars, where convicts toiled to make more space fit for Earth's over-spilling populations.Under the supervision of the corrupt and brutal Mars Corps, Clayton crosses paths again with others he once knew on distant Earth. They find themselves caught up on a maelstrom of terror and political intrigue.",158,5148557,-0.094607843,0.373039216
Pluto,"The Forever War (The Forever War, #1)",Joe Haldeman,1974,"Series Info:This is the first part of the ""Forever War"" series, however it can be read as a standalone.Book Description:The Earth's leaders have drawn a line in the interstellar sanddespite the fact that the fierce alien enemy that they would oppose is inscrutable, unconquerable, and very far away. A reluctant conscript drafted into an elite Military unit, Private William Mandella has been propelled through space and time to fight in the distant thousand-year conflict; to perform his duties without rancor and even rise up through military ranks. Pvt. Mandella is willing to do whatever it takes to survive the ordeal and return home. But ""home"" may be even more terrifying than battle, because, thanks to the time dilation caused by space travel, Mandella is aging months while the Earth he left behind is aging centuries.",278,21611,-0.047692308,0.473717949
Titan,Imperial Earth,Arthur C. Clarke,1975,"Imperial Earth is the fascinating odyssey of Duncan Makenzie, traveling from Titan, a moon of Saturn, to Earth, as a diplomatic guest of the United States for the celebration of its Quincentennial in the year 2276. Titan, an independent republic, was originally colonized from Earth three generations earlier. Duncan's initial challenge is to prepare, physically and intellectually, for the 500-million-mile trip to Earth. Once there, he is caught up in a sweep of new experiences, including the social and political whirl in Washington, a strange visit to a carefully preserved ancient city once prominent in the 20th century, and a search for and meeting with a woman he loved since she visited Titan years before.",320,117840,0.172979798,0.422604618
Pluto,The Borderland of Sol,Larry Niven,1975,"Spaceship pilot Beowulf Shaeffer and certified genius Carlos Wu join Sigmund Ausfaller of the Extremely Foreign Relations Bureau on an investigative mission aboard Sigmund's Extremely Fast and Heavily Armed spaceship, the Hobo Kelly. Eight ships have mysteriously disappeared from Sol System, each winking out of existence as they entered hyperdrive, and the trio's theories for the inexplicable phenomena run from human pirates to hyperspace monsters. When Carlos solicits an opinion from a gravitational expert working on a project nearby, Bey and Sigmund decipher just enough of their technical conversation to realize the gravity of the situation.",47,6037551,-0.090625,0.478125
Jupiter,"Jupiter Project (Jupiter Project, #1)",Gregory Benford,1975,"Serialized in Amazing Science Fiction Magazine in 1972, published as a novel in 1975.The Jovian Astronautical-Biological Orbital Laboratory, a.k.a. ""the Can"", is the only home 17-year-old Matt Bohles has ever known. Concerned about the aging space station's failure to find evidence of alien life on Jupiter or its moon, the cost-conscious powers back home have determined that all non-essential personnel must be evacuated. Now, unless Matt can somehow prove himself to be an invaluable member of the scientific team, he faces exile to a dangerous, frightening, and unfamiliar place: Earth.",195,453976,-0.086666667,0.585
Mars,Murder on Mars,Hugh Walters,1975,"In a crater on Mars an engineer from Mars Base has been found dead, his spacesuit slashed. Despite having a large number of suspects to interview, Morrey Kant, Serge Smyslov and Tony Hale's questioning flushes out a prime suspect. But Tony does not believe they have the right man and hatches a dangerous plan to find the real killer.",131,15237647,-0.15,0.594047619
"Jupiter, Uranus","A World Out of Time (The State, #1)",Larry Niven,1976,"Jaybee Corbell awoke after more than 200 years as a corpsicle -- in someone else's body, and under sentence of instant annihilation if he made a wrong move while they were training him for a one-way mission to the stars.But Corbell picked his time and made his own move. Once he was outbound, where the Society that ruled Earth could not reach him, he headed his starship toward the galactic core, where the unimaginable energies of the Universe wrenched the fabric of time and space and promised final escape from his captors.Then he returned to an Earth eons older than the one he'd left...a planet that had had 3,000,000 years to develop perils he had never dreamed of -- perils that became nightmares that he had to escape...somehow!",246,64725,0.127777778,0.733333333
Mars,Man Plus (Man Plus #1),Frederik Pohl,1976,"Ill luck made Roger Torraway the subject of the Man Plus Programme, but it was deliberate biological engineering which turned him into a monster -- a machine perfectly adapted to survive on Mars. For according to computer predictions, Mars is humankind's only alternative to extinction. But beneath his monstrous exterior, Torraway still carries a man's capacity for suffering.",215,367215,0.083333333,0.833333333
Neptune,Trouble on Triton: An Ambiguous Heterotopia,"Samuel R. Delany, Kathy Acker",1976,"In a story as exciting as any science fiction adventure written, Samuel R. Delany's 1976 SF novel, originally published as Triton, takes us on a tour of a utopian society at war with . . . our own Earth! High wit in this future comedy of manners allows Delany to question gender roles and sexual expectations at a level that, 20 years after it was written, still make it a coruscating portrait of ""the happily reasonable man,"" Bron Helstrom -- an immigrant to the embattled world of Triton, whose troubles become more and more complex, till there is nothing left for him to do but become a woman. Against a background of high adventure, this minuet of a novel dances from the farthest limits of the solar system to Earth's own Outer Mongolia. Alternately funny and moving, it is a wide-ranging tale in which character after character turns out not to be what he -- or she -- seems.",312,85893,0.249666667,0.599222222
Ceres,Exiles To Glory,Jerry Pournelle,1977,"Kevin Senecal was nobody's hero. All he wanted from life was a professional career, a strong union to protect him, and a comfortable company-owned housing well away from his Welfare Slum origins. As a senior engineering student at Cal Tech, Kevin seemed on the verge of realizing his ambitions, when one night he was attacked by a murderous ""youth gant"" - and accidentally killed one of them while escaping. That's when it all changed: ""You don't kill juvies in this town,"" the Homicide Detective told him. Suddenly Kevin Senecal was on the Run, and on all of Earth there was no place to hide.",216,2318180,0.146666667,0.426666667
Jupiter,The Jupiter Theft,Donald Moffitt,1977,"Runaway World. Within hours after the Lunar observatory picked up a strange new X-ray source in Cygnus, the disastrous picture was clear. An immense object was hurtling toward the Solar System at nearly the speed of light...and its intense radiation would surely wipe Earth free of all life within six months. There was nothing anyone could do. Then, incredibly, the rogue that had appeared out of nowhere suddenly changed its trajectory and stopped in the area of Jupiter. And that was flatly impossible!",375,1363899,0.076641414,0.68973064
